yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2004,DET,AL,germafr01,16,0,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2004,DET,AL,grandcu01,9,7,9,8,0,0,0,0,0,0,0,8,0,8,0,1,1
2004,DET,AL,infanom01,142,123,142,140,0,0,0,105,10,23,0,5,0,5,0,4,2
2004,DET,AL,ledezwi01,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,
2004,DET,AL,raburry01,12,7,12,11,0,0,0,11,0,0,0,0,0,0,0,5,0
2004,DET,AL,sheltch01,27,11,27,15,0,6,8,0,0,0,0,0,1,1,9,7,0
2004,FLO,NL,beckejo02,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2004,FLO,NL,cabremi01,160,159,160,158,0,0,0,0,0,0,59,0,100,158,1,1,0
2004,FLO,NL,kensilo01,5,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2004,FLO,NL,willido03,42,30,40,32,32,0,0,0,0,0,0,0,0,0,0,10,0
2004,HOU,NL,burkech01,17,2,17,7,0,0,0,7,0,0,0,0,0,0,0,10,2
2004,HOU,NL,hernaca03,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2004,HOU,NL,taverwi01,10,0,10,7,0,0,0,0,0,0,2,4,1,7,0,0,6
2004,KCA,AL,bautide01,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,
2004,KCA,AL,bautijo02,13,6,13,12,0,0,0,0,11,0,0,0,1,1,0,1,1
2004,KCA,AL,blancan01,19,19,19,19,0,0,0,0,0,19,0,0,0,0,0,0,0
2004,KCA,AL,buckjo01,71,69,71,68,0,68,0,0,0,0,0,0,0,0,3,0,0
2004,KCA,AL,gettiby01,21,15,21,21,0,0,0,0,0,0,11,0,10,21,0,0,2
2004,KCA,AL,gobblji01,25,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2004,KCA,AL,gotayru01,44,41,44,42,0,0,0,42,0,0,0,0,0,0,0,1,1
2004,KCA,AL,greinza01,24,1,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2004,KCA,AL,murphdo01,7,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0
2004,KCA,AL,woodmi01,17,1,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2004,LAN,NL,brazoyh01,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2004,LAN,NL,izturce01,159,156,159,159,0,0,0,0,0,159,0,0,0,0,0,0,0
2004,LAN,NL,jacksed01,8,4,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2004,LAN,NL,perezan01,13,0,13,2,0,0,0,2,0,1,0,0,0,0,0,8,3
2004,MIL,NL,benneje01,60,0,57,60,60,0,0,0,0,0,0,0,0,0,0,0,0
2004,MIL,NL,delarjo01,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2004,MIL,NL,hartco01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,MIL,NL,hendrbe01,10,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2004,MIL,NL,krynzda01,16,9,16,10,0,0,0,0,0,0,0,2,8,10,0,6,1
2004,MIL,NL,liriape01,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2004,MIL,NL,saenzch01,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
