playerID,schoolID,yearID
grayso01,vandy,2010
grayso01,vandy,2011
greenad01,unc,2000
greenad01,unc,2001
greenad01,unc,2002
greengr01,usc,2007
greengr01,usc,2008
greengr01,usc,2009
greenty02,gatech,2003
greenty02,gatech,2004
greenty02,gatech,2005
gregelu01,stxavieril,2003
gregelu01,stxavieril,2004
gregelu01,stxavieril,2005
gregelu01,stxavieril,2006
griffaj01,sandiego,2007
griffaj01,sandiego,2008
griffaj01,sandiego,2009
griffaj01,sandiego,2010
grimmju01,georgia,2008
grimmju01,georgia,2009
grimmju01,georgia,2010
guevaca01,stmarytx,2001
guevaca01,stmarytx,2002
guevaca01,stmarytx,2003
guilmpr01,arizona,2006
guilmpr01,arizona,2007
guilmpr01,arizona,2008
guilmpr01,arizona,2009
guyerbr01,virginia,2005
guyerbr01,virginia,2006
guyerbr01,virginia,2007
gwynnto02,sandiegost,2001
gwynnto02,sandiegost,2002
gwynnto02,sandiegost,2003
gyorkje01,wvirginia,2008
gyorkje01,wvirginia,2009
gyorkje01,wvirginia,2010
hagadni01,washington,2005
hagadni01,washington,2006
hagadni01,washington,2007
haguema01,washington,2005
haguema01,washington,2006
haguema01,washington,2007
haguema01,okstate,2008
hairssc01,azcentr,2000
hairssc01,azcentr,2001
haleda02,princeton,2007
haleda02,princeton,2008
haleda02,princeton,2009
halsebr01,txhillj,2000
halsebr01,txhillj,2001
halsebr01,texas,2002
hamilma01,tulane,2004
hamilma01,tulane,2005
hamilma01,tulane,2006
hammeja01,ortreas,2001
hammeja01,ortreas,2002
hampsju01,ilswijc,1999
hampsju01,ilswijc,2000
hamreer01,pacific,2006
hamreer01,pacific,2007
handdo01,jksonvilst,2005
handdo01,jksonvilst,2006
handdo01,jksonvilst,2007
hanigry01,rollins,2000
hanigry01,rollins,2001
hanigry01,rollins,2002
hannaja01,minnesota,1999
hannaja01,minnesota,2000
hannaja01,minnesota,2001
hansecr01,stjohns,2003
hansecr01,stjohns,2004
hansecr01,stjohns,2005
happja01,nwestern,2002
happja01,nwestern,2003
happja01,nwestern,2004
harderi01,azcentr,2000
harderi01,azcentr,2001
harenda01,pepperdine,1999
harenda01,pepperdine,2000
harenda01,pepperdine,2001
harribr01,willmary,1999
harribr01,willmary,2000
harribr01,willmary,2001
harrijo05,cincy,2006
harrijo05,cincy,2007
