playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
snydech02,2007,ARI,NL,NLDS1,C,3,2,63,23,2,0,0,0,1,0,0
uptonju01,2007,ARI,NL,NLDS1,RF,2,2,45,2,0,0,0,0,,,
youngch04,2007,ARI,NL,NLDS1,CF,3,3,81,4,0,0,0,0,,,
hartke01,2007,CHN,NL,NLDS1,P,1,0,3,0,0,0,0,0,,0,0
hillri01,2007,CHN,NL,NLDS1,P,1,1,9,0,0,0,0,0,,1,0
marmoca01,2007,CHN,NL,NLDS1,P,2,0,9,0,0,0,0,0,,1,0
murtoma01,2007,CHN,NL,NLDS1,RF,1,1,24,3,0,0,0,0,,,
sotoge01,2007,CHN,NL,NLDS1,C,2,2,48,23,0,0,0,0,0,1,0
zambrca01,2007,CHN,NL,NLDS1,P,1,1,18,0,0,0,0,0,,1,0
corpama01,2007,COL,NL,NLDS2,P,3,0,10,0,0,0,0,0,,0,0
francje01,2007,COL,NL,NLDS2,P,1,1,18,0,0,0,0,0,,1,0
hollima01,2007,COL,NL,NLDS2,LF,3,3,81,6,0,0,0,0,,,
jimenub01,2007,COL,NL,NLDS2,P,1,1,19,0,0,0,0,0,,1,0
moralfr01,2007,COL,NL,NLDS2,P,1,1,9,0,1,0,0,0,,0,0
tulowtr01,2007,COL,NL,NLDS2,SS,3,3,81,5,8,0,2,0,,,
hamelco01,2007,PHI,NL,NLDS2,P,1,1,20,1,2,0,0,0,,0,0
kendrky01,2007,PHI,NL,NLDS2,P,1,1,11,0,1,0,0,0,,0,0
myersbr01,2007,PHI,NL,NLDS2,P,2,0,4,0,1,0,0,0,,0,0
victosh01,2007,PHI,NL,NLDS2,RF,2,2,51,6,0,0,0,0,,,
beckejo02,2007,BOS,AL,WS,P,1,1,21,0,0,0,0,0,,0,0
delcama01,2007,BOS,AL,WS,P,2,0,4,0,0,0,0,0,,0,0
ellsbja01,2007,BOS,AL,WS,CF,4,4,84,6,0,0,0,0,,,
ellsbja01,2007,BOS,AL,WS,LF,2,0,15,2,0,0,0,0,,,
ellsbja01,2007,BOS,AL,WS,RF,1,0,9,2,0,0,0,0,,,
lestejo01,2007,BOS,AL,WS,P,1,1,17,1,0,0,0,0,,0,0
matsuda01,2007,BOS,AL,WS,P,1,1,16,0,1,0,0,0,,0,0
papeljo01,2007,BOS,AL,WS,P,3,0,13,0,1,0,0,0,,0,0
pedrodu01,2007,BOS,AL,WS,2B,4,4,104,6,6,0,1,0,,,
corpama01,2007,COL,NL,WS,P,2,0,5,0,1,0,0,0,,0,0
francje01,2007,COL,NL,WS,P,1,1,12,0,0,0,0,0,,0,0
hollima01,2007,COL,NL,WS,LF,4,4,102,7,1,0,0,0,,,
jimenub01,2007,COL,NL,WS,P,1,1,14,0,0,0,0,0,,1,0
moralfr01,2007,COL,NL,WS,P,2,0,9,1,2,0,0,0,,0,0
taverwi01,2007,COL,NL,WS,CF,2,2,48,7,0,0,0,0,,,
tulowtr01,2007,COL,NL,WS,SS,4,4,102,7,9,0,1,0,,,
beckejo02,2008,BOS,AL,ALCS,P,2,2,28,1,2,0,0,0,,2,1
delcama01,2008,BOS,AL,ALCS,P,3,0,6,0,1,0,0,0,,0,0
ellsbja01,2008,BOS,AL,ALCS,CF,2,2,54,2,0,0,0,0,,,
ellsbja01,2008,BOS,AL,ALCS,RF,1,1,24,1,0,0,0,0,,,
lestejo01,2008,BOS,AL,ALCS,P,2,2,38,0,1,0,0,0,,1,0
lowrije01,2008,BOS,AL,ALCS,SS,5,5,140,3,13,0,5,0,,,
masteju01,2008,BOS,AL,ALCS,P,5,0,17,1,0,0,0,0,,0,0
matsuda01,2008,BOS,AL,ALCS,P,2,2,33,2,1,0,0,0,,1,0
papeljo01,2008,BOS,AL,ALCS,P,4,0,16,0,1,0,0,0,,2,0
pedrodu01,2008,BOS,AL,ALCS,2B,7,7,191,13,24,0,5,0,,,
baldero01,2008,TBA,AL,ALCS,RF,2,2,42,4,0,0,0,0,,,
crawfca02,2008,TBA,AL,ALCS,LF,7,7,194,11,0,0,0,0,,,
garzama01,2008,TBA,AL,ALCS,P,2,2,39,0,2,0,0,0,,1,1
howeljp01,2008,TBA,AL,ALCS,P,6,0,16,0,1,0,0,0,,1,0
jacksed01,2008,TBA,AL,ALCS,P,2,0,7,0,0,0,0,0,,0,0
kazmisc01,2008,TBA,AL,ALCS,P,2,2,31,0,0,0,0,0,,0,0
longoev01,2008,TBA,AL,ALCS,3B,7,7,194,5,12,3,2,0,,,
navardi01,2008,TBA,AL,ALCS,C,7,7,194,53,4,0,1,0,1,2,1
